hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,3,2016,November,48,26,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,113.0,0,Transient,36.0,1,0,Check-Out,2016-11-27
City Hotel,1,342,2015,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,0,102,2016,June,24,5,1,0,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,1,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-06-06
City Hotel,1,311,2015,August,35,24,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
Resort Hotel,0,3,2016,March,13,22,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,86.2,1,0,Check-Out,2016-03-27
Resort Hotel,0,7,2017,March,9,2,0,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,37.0,0,0,Check-Out,2017-03-05
Resort Hotel,0,4,2017,March,9,4,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,8.0,0,1,Check-Out,2017-03-05
Resort Hotel,0,18,2016,August,33,10,0,2,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,357.0,0,0,Check-Out,2016-08-12
City Hotel,1,175,2017,May,18,6,2,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,189.0,0,2,Canceled,2017-04-20
City Hotel,1,13,2017,May,18,5,1,2,2,0.0,0,SC,COL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,150.0,0,0,Canceled,2017-04-24
City Hotel,1,50,2016,November,47,18,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,2,Canceled,2016-10-09
City Hotel,1,54,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,16,Transient,75.0,0,0,Canceled,2016-12-07
Resort Hotel,0,86,2016,April,18,29,2,2,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,52.56,0,0,Check-Out,2016-05-03
City Hotel,1,49,2016,May,19,6,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,0,Canceled,2016-04-25
Resort Hotel,0,33,2015,August,33,12,0,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,,307.0,0,Transient-Party,191.0,1,0,Check-Out,2015-08-13
Resort Hotel,0,7,2017,January,2,12,0,1,1,0.0,0,BB,PRT,Corporate,TA/TO,1,0,1,A,A,0,No Deposit,,39.0,0,Group,38.0,1,0,Check-Out,2017-01-13
City Hotel,0,5,2015,September,37,6,2,0,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,G,1,No Deposit,14.0,,0,Transient,171.0,1,0,Check-Out,2015-09-08
City Hotel,1,433,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,0,117,2015,August,34,20,0,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,111.0,0,1,Check-Out,2015-08-22
City Hotel,0,9,2016,July,30,20,0,1,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2016-07-21
City Hotel,1,350,2016,September,40,30,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,4.0,,17,Transient,90.0,0,0,Canceled,2015-11-02
City Hotel,1,144,2017,February,5,3,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,104.0,0,1,Canceled,2016-11-28
City Hotel,1,12,2016,August,33,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,149.0,0,0,Canceled,2016-08-04
City Hotel,0,6,2017,May,22,29,1,0,1,0.0,0,BB,PRT,Aviation,Corporate,1,0,1,A,A,0,No Deposit,153.0,,0,Transient,95.0,0,0,Check-Out,2017-05-30
City Hotel,1,311,2015,August,35,24,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
Resort Hotel,0,0,2016,April,16,15,2,4,1,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Group,41.65,0,0,Check-Out,2016-04-21
Resort Hotel,0,126,2015,August,34,18,1,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient-Party,96.3,0,1,Check-Out,2015-08-24
Resort Hotel,0,5,2017,July,30,24,3,5,1,0.0,0,SC,ESP,Direct,Direct,0,0,6,F,I,3,No Deposit,,,0,Transient,0.0,1,3,Check-Out,2017-08-01
City Hotel,0,0,2017,June,26,28,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,87.0,,0,Transient-Party,120.0,0,0,Check-Out,2017-06-29
City Hotel,0,83,2016,October,43,19,0,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,2,Check-Out,2016-10-23
City Hotel,0,83,2017,May,19,11,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9.0,,0,Transient,240.0,0,3,Check-Out,2017-05-13
City Hotel,0,14,2016,March,11,10,0,3,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,16.0,,0,Transient,102.0,0,1,Check-Out,2016-03-13
Resort Hotel,0,152,2017,March,11,15,4,10,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,55.86,0,0,Check-Out,2017-03-29
City Hotel,0,157,2016,August,33,10,0,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,155.7,0,2,Check-Out,2016-08-12
City Hotel,0,21,2015,November,45,4,0,1,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,85.0,,0,Transient,92.0,0,0,Check-Out,2015-11-05
City Hotel,0,31,2017,February,5,4,2,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.0,0,0,Check-Out,2017-02-07
City Hotel,0,182,2017,April,15,10,1,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,A,1,No Deposit,9.0,,0,Transient,103.05,0,2,Check-Out,2017-04-15
City Hotel,0,41,2017,March,12,23,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,121.33,0,1,Check-Out,2017-03-26
City Hotel,0,56,2015,September,39,25,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,44.0,,0,Transient-Party,185.0,0,0,Check-Out,2015-09-29
City Hotel,0,29,2016,March,10,4,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,87.0,0,0,Check-Out,2016-03-07
Resort Hotel,0,0,2017,May,20,15,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,79.0,1,0,Check-Out,2017-05-16
City Hotel,0,54,2017,March,11,14,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2017-03-17
City Hotel,1,168,2016,April,17,22,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,77,Transient,85.0,0,0,Canceled,2016-01-22
City Hotel,1,180,2015,July,30,19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,1,No Deposit,9.0,,0,Transient,76.5,0,2,Canceled,2015-07-06
City Hotel,0,7,2016,July,29,11,1,0,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,9.0,,0,Transient,169.0,0,2,Check-Out,2016-07-12
City Hotel,0,119,2017,June,24,15,1,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,1,E,E,2,No Deposit,14.0,,0,Transient,136.8,0,0,Check-Out,2017-06-19
Resort Hotel,1,45,2015,December,49,5,2,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,68.0,0,0,Canceled,2015-11-24
Resort Hotel,0,211,2016,May,20,14,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,D,0,No Deposit,298.0,,0,Transient-Party,85.0,0,0,Check-Out,2016-05-16
Resort Hotel,0,2,2017,June,25,18,1,0,2,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,D,E,0,No Deposit,,,0,Transient,155.0,1,1,Check-Out,2017-06-19
City Hotel,1,61,2015,September,36,5,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-09-01
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0,Canceled,2015-04-22
City Hotel,1,80,2015,November,45,2,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,37.0,60,Transient,111.0,0,0,Canceled,2015-10-13
City Hotel,0,5,2016,March,12,19,2,1,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,93.33,0,0,Check-Out,2016-03-22
City Hotel,0,12,2016,November,48,26,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,83.13,0,0,Check-Out,2016-11-27
Resort Hotel,0,61,2015,September,37,6,2,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,128.0,0,0,Check-Out,2015-09-12
Resort Hotel,0,275,2016,April,16,10,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,72.45,0,0,Check-Out,2016-04-17
City Hotel,1,213,2016,June,24,7,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,62,Transient,130.0,0,0,Canceled,2016-01-08
City Hotel,1,5,2016,March,10,1,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,51.0,0,0,Canceled,2016-03-01
City Hotel,0,55,2015,September,37,6,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,75.0,0,0,Check-Out,2015-09-08
City Hotel,1,193,2016,August,35,26,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.2,0,0,Canceled,2016-02-17
Resort Hotel,0,111,2016,October,43,18,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,147.0,,0,Transient,57.76,0,0,Check-Out,2016-10-22
City Hotel,0,120,2017,May,19,11,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.1,0,0,Check-Out,2017-05-14
Resort Hotel,1,257,2017,August,32,7,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,153.75,0,3,Canceled,2017-05-21
City Hotel,0,16,2017,March,9,3,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,197.0,0,1,Check-Out,2017-03-05
City Hotel,1,189,2017,June,22,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-11-25
City Hotel,0,115,2017,May,18,6,2,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,89.1,0,0,Check-Out,2017-05-12
Resort Hotel,0,0,2016,June,25,13,1,0,2,0.0,0,BB,USA,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,159.0,1,0,Check-Out,2016-06-14
City Hotel,0,143,2016,July,31,28,2,4,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,132.88,0,1,Check-Out,2016-08-03
City Hotel,0,2,2016,March,14,28,1,3,1,0.0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,91.5,0,1,Check-Out,2016-04-01
City Hotel,1,71,2016,May,19,1,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.6,0,0,Canceled,2016-04-05
Resort Hotel,0,7,2015,December,49,5,2,1,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,,0,Transient,97.02,0,0,Check-Out,2015-12-08
City Hotel,0,55,2017,March,10,8,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,97.2,0,2,Check-Out,2017-03-11
Resort Hotel,0,226,2016,August,33,8,1,3,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,240.0,,0,Transient,138.0,1,2,Check-Out,2016-08-12
City Hotel,1,247,2017,August,31,1,0,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,1,Canceled,2016-12-12
Resort Hotel,0,4,2017,April,15,9,2,1,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,127.0,,0,Transient,65.6,0,0,Check-Out,2017-04-12
Resort Hotel,0,169,2016,March,14,31,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-03
City Hotel,0,2,2017,March,12,21,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017-03-22
City Hotel,1,69,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,197.0,0,Transient,85.0,0,0,Canceled,2017-01-27
Resort Hotel,0,309,2017,May,21,25,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,40.95,0,0,Check-Out,2017-05-29
Resort Hotel,0,214,2016,April,16,11,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,52.2,0,2,Check-Out,2016-04-18
City Hotel,0,34,2017,June,23,5,1,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,,0,Transient,95.0,0,0,Check-Out,2017-06-08
City Hotel,0,136,2016,June,24,9,0,3,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,103.68,0,2,Check-Out,2016-06-12
Resort Hotel,0,96,2017,March,11,12,4,7,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,E,E,4,No Deposit,,,0,Transient-Party,78.18,0,0,Check-Out,2017-03-23
City Hotel,0,140,2016,July,29,15,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,0,Check-Out,2016-07-19
City Hotel,0,68,2017,April,14,5,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,2,No Deposit,,418.0,0,Transient-Party,110.0,0,0,Check-Out,2017-04-08
City Hotel,0,49,2015,December,49,5,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.2,0,2,Check-Out,2015-12-08
City Hotel,1,299,2015,August,33,12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,1,69,2015,September,37,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-09-03
City Hotel,0,14,2016,August,36,31,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,124.0,0,1,Check-Out,2016-09-01
City Hotel,0,11,2016,June,25,12,2,0,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,,0,Transient,177.45,1,1,Check-Out,2016-06-14
Resort Hotel,0,4,2017,February,7,13,1,1,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,135.0,0,Transient,38.5,1,0,Check-Out,2017-02-15
City Hotel,0,119,2016,October,43,16,2,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,151.2,0,2,Check-Out,2016-10-21
Resort Hotel,0,211,2015,October,42,14,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,57.43,0,0,Check-Out,2015-10-21
City Hotel,0,0,2017,August,32,7,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,9,A,A,0,No Deposit,,485.0,0,Transient,75.0,0,3,Check-Out,2017-08-10
Resort Hotel,1,319,2017,May,19,7,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,54.0,0,0,Canceled,2016-06-30
City Hotel,0,56,2016,September,37,5,1,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.95,0,0,Check-Out,2016-09-11
Resort Hotel,0,151,2017,April,14,4,0,5,1,0.0,0,BB,USA,Groups,TA/TO,0,0,0,A,D,5,No Deposit,,223.0,0,Transient-Party,42.0,0,0,Check-Out,2017-04-09
City Hotel,0,151,2017,March,12,20,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,95.0,0,0,Check-Out,2017-03-22
City Hotel,0,122,2017,April,18,30,2,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,128.25,0,0,Check-Out,2017-05-04
Resort Hotel,0,72,2016,February,6,6,2,1,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient-Party,56.67,0,0,Check-Out,2016-02-09
City Hotel,0,147,2017,June,24,11,2,0,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,180.0,0,1,Check-Out,2017-06-13
Resort Hotel,0,220,2016,August,34,15,1,5,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,190.0,0,1,Check-Out,2016-08-21
Resort Hotel,0,76,2015,August,35,26,0,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient,116.85,0,3,Check-Out,2015-08-30
City Hotel,1,127,2017,April,16,22,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,27,Transient,105.0,0,0,Canceled,2017-01-12
City Hotel,1,36,2016,April,18,29,0,1,1,0.0,0,SC,USA,Offline TA/TO,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,111.6,0,0,Canceled,2016-04-19
City Hotel,0,167,2017,April,16,17,1,3,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,16.0,,0,Transient-Party,89.1,0,0,Check-Out,2017-04-21
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,101.5,0,0,Check-Out,2015-07-03
Resort Hotel,0,287,2015,October,42,15,0,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,D,0,No Deposit,,223.0,0,Transient-Party,50.5,1,0,Check-Out,2015-10-18
City Hotel,1,265,2016,April,17,20,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,101.0,0,0,Canceled,2015-07-30
City Hotel,0,11,2016,January,1,1,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,61.5,0,1,Check-Out,2016-01-03
Resort Hotel,1,312,2017,August,31,4,2,2,2,1.0,0,BB,LUX,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,240.0,,0,Transient,244.0,0,2,Canceled,2017-04-24
City Hotel,1,61,2015,December,52,24,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,2,No Deposit,13.0,,0,Group,107.2,0,1,Canceled,2015-12-15
Resort Hotel,0,115,2015,September,38,19,2,3,2,0.0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,244.0,,0,Transient,77.0,0,0,Check-Out,2015-09-24
City Hotel,1,61,2016,July,30,23,1,1,1,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,0,Canceled,2016-05-23
City Hotel,0,262,2016,October,41,7,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.3,0,1,Check-Out,2016-10-12
City Hotel,0,203,2017,May,20,19,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,101.38,0,1,Check-Out,2017-05-23
City Hotel,0,27,2016,February,9,27,1,1,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,1,Check-Out,2016-02-29
Resort Hotel,1,51,2017,April,15,11,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,90.0,0,2,Canceled,2017-03-05
City Hotel,1,377,2015,October,44,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
Resort Hotel,0,337,2016,October,42,9,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,E,0,No Deposit,273.0,,101,Transient-Party,67.99,0,0,Check-Out,2016-10-16
City Hotel,1,315,2016,December,49,2,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,52.0,0,0,Canceled,2016-03-15
City Hotel,0,143,2017,August,32,8,0,4,2,0.0,0,BB,GRC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,0,Check-Out,2017-08-12
City Hotel,0,18,2017,April,16,18,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,126.0,0,0,Check-Out,2017-04-22
City Hotel,1,103,2017,July,31,30,6,10,2,0.0,0,SC,MOZ,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,1,Canceled,2017-04-21
